TeacherID,Date,"A1 - The teacher explains complex concepts in a clear and understandable manner.","A2 - The teacher breaks down difficult material into manageable and logical learning steps.","A3 - The teacher uses relevant examples and real-world applications to illustrate topics effectively.","B1 - The teacher effectively uses digital tools (presentations, videos, apps, online resources) to enhance learning.","B2 - The teacher uses technology to provide timely and constructive feedback on assignments.","B3 - The digital materials and resources shared by the teacher are easily accessible and helpful for self-study.","C1 - The teacher makes lessons engaging and maintains my interest throughout the class.","C2 - The teacher creates a supportive environment where I feel comfortable asking questions and seeking help.","C3 - The teacher encourages active participation, critical thinking, and meaningful interaction with the material."
T001,27/02/2024,"Neutral","Strongly Agree","Agree","Agree","Disagree","Neutral","Agree","Neutral","Agree"
T001,22/02/2024,"Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral"
T001,25/02/2024,"Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree"
T001,17/02/2024,"Neutral","Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Agree","Neutral"
T001,27/02/2024,"Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Strongly Disagree","Neutral"
T001,20/02/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree"
T001,22/02/2024,"Disagree","Agree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree"
T001,16/02/2024,"Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Neutral","Neutral","Agree"
T001,15/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,26/02/2024,"Neutral","Disagree","Disagree","Agree","Agree","Agree","Neutral","Agree","Neutral"
T001,28/02/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral"
T001,25/02/2024,"Agree","Neutral","Agree","Strongly Disagree","Agree","Agree","Neutral","Disagree","Agree"
T001,17/02/2024,"Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Neutral"
T001,22/02/2024,"Neutral","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral"
T001,24/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Strongly Agree"
T001,20/02/2024,"Agree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Strongly Disagree"
T001,23/02/2024,"Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral"
T001,26/02/2024,"Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Disagree","Strongly Agree","Agree"
T001,21/02/2024,"Agree","Strongly Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Agree","Neutral"
T001,26/02/2024,"Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Neutral"
T001,25/02/2024,"Agree","Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,21/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral"
T001,17/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral"
T001,18/02/2024,"Neutral","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral"
T001,24/02/2024,"Disagree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Neutral","Neutral"
T001,19/02/2024,"Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Strongly Agree","Neutral","Neutral"
T001,27/02/2024,"Neutral","Strongly Agree","Strongly Disagree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree"
T001,23/02/2024,"Strongly Agree","Neutral","Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Agree"
T001,24/02/2024,"Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
T001,15/02/2024,"Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree"
T001,20/02/2024,"Neutral","Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Agree"
T001,26/02/2024,"Neutral","Agree","Neutral","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral"
T001,25/02/2024,"Strongly Agree","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Neutral"
T001,26/02/2024,"Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Agree","Neutral"
T001,27/02/2024,"Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Neutral"
T001,19/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Agree"
T001,25/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,26/02/2024,"Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
T001,24/02/2024,"Neutral","Strongly Disagree","Agree","Disagree","Disagree","Strongly Agree","Neutral","Neutral","Neutral"
T001,29/02/2024,"Neutral","Strongly Agree","Strongly Disagree","Strongly Agree","Neutral","Agree","Neutral","Agree","Neutral"
T001,24/02/2024,"Strongly Agree","Disagree","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral"
T001,18/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree"
T001,23/02/2024,"Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree"
T001,17/02/2024,"Agree","Neutral","Neutral","Agree","Strongly Agree","Disagree","Neutral","Agree","Neutral"
T001,18/02/2024,"Strongly Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Strongly Disagree","Strongly Agree"
T001,29/02/2024,"Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree"
T001,28/02/2024,"Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral"
T001,23/02/2024,"Neutral","Neutral","Neutral","Disagree","Neutral","Disagree","Neutral","Neutral","Agree"
T001,20/02/2024,"Agree","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree","Agree","Neutral"
T001,22/02/2024,"Neutral","Agree","Neutral","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Agree"
T001,24/02/2024,"Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,22/02/2024,"Disagree","Neutral","Neutral","Neutral","Strongly Agree","Agree","Agree","Neutral","Neutral"
T001,24/02/2024,"Disagree","Agree","Neutral","Agree","Neutral","Disagree","Strongly Agree","Neutral","Neutral"
T001,28/02/2024,"Neutral","Disagree","Neutral","Neutral","Disagree","Strongly Agree","Neutral","Agree","Neutral"
T001,17/02/2024,"Disagree","Neutral","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Neutral","Disagree"
T001,18/02/2024,"Neutral","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Disagree","Neutral"
T001,24/02/2024,"Neutral","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Agree","Disagree"
T001,22/02/2024,"Agree","Agree","Strongly Disagree","Disagree","Strongly Agree","Neutral","Neutral","Strongly Agree","Agree"
T001,19/02/2024,"Agree","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Agree"
T001,23/02/2024,"Neutral","Agree","Disagree","Strongly Agree","Agree","Agree","Agree","Neutral","Agree"
T001,21/02/2024,"Disagree","Neutral","Neutral","Agree","Strongly Agree","Strongly Agree","Disagree","Neutral","Neutral"
T001,22/02/2024,"Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Agree","Neutral","Disagree","Strongly Agree"
T001,22/02/2024,"Agree","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral"
T001,21/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Agree","Agree"
T001,21/02/2024,"Neutral","Agree","Strongly Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral"
T001,29/02/2024,"Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Strongly Agree","Strongly Disagree"
T001,19/02/2024,"Strongly Agree","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,24/02/2024,"Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral"
T001,25/02/2024,"Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral"
T001,29/02/2024,"Strongly Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral"
T001,23/02/2024,"Neutral","Disagree","Agree","Agree","Neutral","Neutral","Agree","Agree","Neutral"
T001,19/02/2024,"Neutral","Neutral","Strongly Agree","Neutral","Neutral","Agree","Disagree","Strongly Disagree","Strongly Disagree"
T001,25/02/2024,"Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Strongly Agree"
T001,17/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Disagree"
T001,22/02/2024,"Neutral","Agree","Neutral","Neutral","Agree","Disagree","Neutral","Neutral","Strongly Disagree"
T001,24/02/2024,"Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
T001,22/02/2024,"Neutral","Agree","Neutral","Neutral","Strongly Agree","Agree","Neutral","Neutral","Disagree"
T001,16/02/2024,"Agree","Disagree","Disagree","Neutral","Strongly Agree","Neutral","Strongly Disagree","Agree","Neutral"
T001,27/02/2024,"Strongly Disagree","Neutral","Agree","Neutral","Agree","Strongly Agree","Strongly Agree","Agree","Agree"
T001,25/02/2024,"Agree","Neutral","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Agree"
T001,23/02/2024,"Agree","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Strongly Agree"
T001,26/02/2024,"Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral"
T001,18/02/2024,"Agree","Agree","Agree","Neutral","Agree","Disagree","Neutral","Neutral","Disagree"
T001,22/02/2024,"Agree","Neutral","Neutral","Strongly Disagree","Neutral","Neutral","Strongly Agree","Strongly Disagree","Neutral"
T001,19/02/2024,"Agree","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Neutral"
T001,25/02/2024,"Neutral","Disagree","Agree","Disagree","Agree","Disagree","Neutral","Agree","Neutral"
T001,26/02/2024,"Agree","Neutral","Agree","Agree","Agree","Agree","Neutral","Strongly Disagree","Neutral"
T001,18/02/2024,"Neutral","Neutral","Agree","Strongly Agree","Agree","Neutral","Neutral","Neutral","Neutral"
T001,28/02/2024,"Disagree","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree"
T001,27/02/2024,"Agree","Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree"
T001,19/02/2024,"Agree","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree"
T001,23/02/2024,"Neutral","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Neutral","Neutral"
T001,20/02/2024,"Neutral","Neutral","Neutral","Strongly Agree","Neutral","Neutral","Agree","Agree","Strongly Agree"
T001,26/02/2024,"Agree","Neutral","Neutral","Agree","Disagree","Disagree","Agree","Neutral","Disagree"
T001,18/02/2024,"Agree","Agree","Agree","Strongly Agree","Agree","Agree","Neutral","Disagree","Agree"
T001,20/02/2024,"Agree","Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Agree","Agree"
T001,23/02/2024,"Neutral","Neutral","Agree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral"
T001,21/02/2024,"Neutral","Agree","Disagree","Neutral","Agree","Neutral","Agree","Neutral","Agree"
T001,18/02/2024,"Disagree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Neutral","Agree","Agree"
T001,21/02/2024,"Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Agree"
T001,25/02/2024,"Agree","Neutral","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Agree"
T001,17/02/2024,"Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Agree","Agree","Agree","Strongly Agree"
T001,17/02/2024,"Agree","Agree","Strongly Agree","Agree","Disagree","Agree","Neutral","Neutral","Disagree"
T001,27/02/2024,"Agree","Agree","Disagree","Neutral","Neutral","Disagree","Agree","Agree","Neutral"
T001,30/02/2024,"Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Neutral"
T001,16/02/2024,"Agree","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Neutral","Agree"
T001,18/02/2024,"Agree","Agree","Neutral","Strongly Disagree","Neutral","Neutral","Neutral","Disagree","Disagree"
T001,19/02/2024,"Neutral","Disagree","Neutral","Strongly Agree","Agree","Agree","Agree","Neutral","Disagree"
T001,21/02/2024,"Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Agree","Neutral","Agree"
T001,26/02/2024,"Neutral","Neutral","Agree","Neutral","Neutral","Agree","Neutral","Agree","Neutral"
T001,20/02/2024,"Neutral","Disagree","Agree","Neutral","Strongly Agree","Neutral","Neutral","Agree","Neutral"
T001,24/02/2024,"Disagree","Agree","Neutral","Agree","Strongly Agree","Agree","Strongly Disagree","Strongly Agree","Neutral"
T001,27/02/2024,"Strongly Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Agree","Disagree","Agree"
T001,21/02/2024,"Neutral","Strongly Disagree","Agree","Strongly Agree","Disagree","Disagree","Agree","Neutral","Strongly Agree"
T001,19/02/2024,"Disagree","Neutral","Neutral","Neutral","Strongly Agree","Neutral","Disagree","Neutral","Disagree"
T001,26/02/2024,"Neutral","Neutral","Neutral","Neutral","Agree","Agree","Agree","Neutral","Strongly Agree"
T001,18/02/2024,"Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Neutral","Strongly Agree","Disagree","Strongly Agree"
T001,25/02/2024,"Agree","Agree","Disagree","Neutral","Disagree","Disagree","Agree","Agree","Agree"
T001,22/02/2024,"Agree","Disagree","Neutral","Strongly Disagree","Disagree","Agree","Strongly Agree","Agree","Agree"
T001,26/02/2024,"Strongly Agree","Agree","Neutral","Neutral","Disagree","Agree","Neutral","Strongly Agree","Agree"
T001,27/02/2024,"Agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","Neutral","Strongly Agree"
T001,23/02/2024,"Agree","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Strongly Disagree","Neutral"
T001,22/02/2024,"Agree","Neutral","Neutral","Disagree","Disagree","Disagree","Agree","Agree","Agree"
T001,19/02/2024,"Neutral","Agree","Neutral","Strongly Agree","Agree","Neutral","Agree","Neutral","Agree"
T001,21/02/2024,"Agree","Strongly Agree","Agree","Disagree","Agree","Neutral","Neutral","Strongly Disagree","Neutral"
T001,25/02/2024,"Neutral","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree","Disagree"
T001,25/02/2024,"Agree","Strongly Agree","Neutral","Disagree","Neutral","Agree","Agree","Neutral","Agree"
T001,19/02/2024,"Strongly Disagree","Disagree","Agree","Neutral","Strongly Agree","Strongly Disagree","Neutral","Agree","Neutral"
T001,23/02/2024,"Neutral","Agree","Neutral","Agree","Neutral","Neutral","Neutral","Agree","Strongly Agree"
T001,20/02/2024,"Agree","Neutral","Disagree","Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Neutral"
T001,18/02/2024,"Agree","Agree","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Agree"
T001,26/02/2024,"Agree","Agree","Strongly Disagree","Strongly Disagree","Agree","Neutral","Disagree","Strongly Agree","Neutral"
T001,29/02/2024,"Neutral","Disagree","Strongly Agree","Neutral","Agree","Neutral","Agree","Strongly Agree","Strongly Disagree"
T001,23/02/2024,"Neutral","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Agree","Disagree","Neutral"
T001,22/02/2024,"Neutral","Neutral","Neutral","Agree","Neutral","Strongly Disagree","Strongly Agree","Agree","Strongly Agree"
T001,26/02/2024,"Agree","Neutral","Neutral","Neutral","Agree","Agree","Disagree","Agree","Agree"
T001,20/02/2024,"Agree","Agree","Strongly Disagree","Agree","Agree","Neutral","Agree","Disagree","Agree"
T001,29/02/2024,"Neutral","Neutral","Neutral","Agree","Disagree","Agree","Agree","Neutral","Neutral"
T001,24/02/2024,"Strongly Agree","Neutral","Strongly Agree","Agree","Agree","Neutral","Neutral","Disagree","Agree"
T001,25/02/2024,"Disagree","Agree","Strongly Agree","Neutral","Neutral","Strongly Disagree","Strongly Agree","Agree","Neutral"
T001,25/02/2024,"Agree","Agree","Strongly Agree","Strongly Disagree","Disagree","Agree","Agree","Agree","Neutral"
T001,27/02/2024,"Disagree","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,24/02/2024,"Agree","Disagree","Agree","Agree","Disagree","Neutral","Neutral","Agree","Agree"
T001,20/02/2024,"Neutral","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Strongly Agree"
T001,15/02/2024,"Strongly Agree","Neutral","Agree","Agree","Agree","Agree","Strongly Disagree","Neutral","Strongly Agree"
T001,22/02/2024,"Agree","Disagree","Neutral","Agree","Neutral","Neutral","Strongly Agree","Neutral","Neutral"
T001,22/02/2024,"Agree","Strongly Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T001,19/02/2024,"Strongly Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Neutral"
T001,17/02/2024,"Agree","Agree","Agree","Neutral","Disagree","Strongly Disagree","Agree","Agree","Agree"
T001,20/02/2024,"Agree","Neutral","Neutral","Neutral","Neutral","Agree","Neutral","Disagree","Strongly Disagree"
T001,19/02/2024,"Disagree","Agree","Neutral","Agree","Neutral","Agree","Strongly Disagree","Disagree","Neutral"
T001,17/02/2024,"Neutral","Neutral","Agree","Agree","Neutral","Strongly Agree","Disagree","Strongly Agree","Disagree"
T001,29/02/2024,"Strongly Disagree","Neutral","Neutral","Agree","Neutral","Strongly Disagree","Neutral","Agree","Disagree"
T001,21/02/2024,"Disagree","Neutral","Neutral","Disagree","Agree","Neutral","Neutral","Strongly Agree","Neutral"
T001,22/02/2024,"Disagree","Agree","Neutral","Agree","Neutral","Agree","Neutral","Neutral","Disagree"
T001,19/02/2024,"Neutral","Disagree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Agree"
T001,16/02/2024,"Disagree","Neutral","Agree","Disagree","Agree","Strongly Disagree","Agree","Agree","Neutral"
T001,26/02/2024,"Neutral","Agree","Agree","Disagree","Agree","Agree","Neutral","Agree","Agree"
T001,19/02/2024,"Neutral","Agree","Neutral","Agree","Agree","Strongly Agree","Neutral","Neutral","Agree"
T001,25/02/2024,"Agree","Agree","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Disagree"
T001,19/02/2024,"Neutral","Disagree","Neutral","Agree","Agree","Neutral","Neutral","Strongly Agree","Agree"
T001,18/02/2024,"Agree","Strongly Agree","Agree","Disagree","Strongly Agree","Neutral","Neutral","Neutral","Neutral"
T001,22/02/2024,"Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Strongly Agree","Disagree","Strongly Agree"
T001,28/02/2024,"Strongly Agree","Disagree","Neutral","Disagree","Agree","Neutral","Agree","Neutral","Agree"
T001,29/02/2024,"Agree","Agree","Neutral","Agree","Neutral","Strongly Agree","Agree","Agree","Neutral"
T001,23/02/2024,"Agree","Agree","Agree","Agree","Strongly Agree","Neutral","Agree","Agree","Disagree"
T001,21/02/2024,"Agree","Neutral","Strongly Disagree","Disagree","Agree","Agree","Neutral","Strongly Disagree","Neutral"
T001,16/02/2024,"Agree","Strongly Agree","Neutral","Neutral","Disagree","Neutral","Neutral","Strongly Agree","Agree"
T001,21/02/2024,"Agree","Strongly Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Neutral","Agree"
T001,25/02/2024,"Agree","Neutral","Disagree","Neutral","Agree","Disagree","Agree","Strongly Agree","Neutral"
T001,26/05/2024,"Strongly Agree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Agree","Agree","Strongly Agree"
T001,21/05/2024,"Agree","Agree","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree"
T001,19/05/2024,"Agree","Neutral","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree"
T001,19/05/2024,"Strongly Agree","Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree"
